NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,P.VOL$,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,T.VOL$,R.DATE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-REA,2020-03-25,AUD,69.0,51000813.0,2021-01-26,97.04,40.64,33.0,2020-05-21,97.04,15346134.0,-,CLOSED,40.64,209.0,16.0,100.0
-,ASX-REA,2020-03-25,AUD,69.0,51000813.0,2020-12-16,95.33,38.16,36.0,2020-05-11,95.33,27982036.0,-,CLOSED,38.16,240.0,15.0,100.0
-,ASX-REA,2020-03-25,AUD,69.0,51000813.0,2021-01-02,92.53,34.1,30.0,2020-05-08,92.53,16139624.0,-,CLOSED,34.1,226.0,13.0,100.0
-,ASX-A2M,2020-03-30,AUD,16.88,57359050.0,2020-09-10,26.0,54.03,83.0,2020-09-10,16.47,53395312.0,-,CLOSED,-2.43,-4.0,86.0,-4.0
-,ASX-NAN,2020-03-30,AUD,5.63,10097028.0,2021-02-27,7.81,38.72,29.0,2020-12-18,7.81,9364213.0,-,CLOSED,38.72,43.0,68.0,100.0
-,ASX-REA,2020-03-31,AUD,76.99,56366549.0,2020-10-10,101.57,31.93,42.0,2020-05-26,101.57,20601623.0,-,CLOSED,31.93,168.0,25.0,100.0
-,ASX-NAN,2020-04-09,AUD,6.25,8591438.0,2021-02-16,9.1,45.6,37.0,2021-02-16,6.85,4737837.0,-,CLOSED,9.6,9.0,86.0,21.0
-,ASX-REA,2020-04-28,AUD,85.5,59800994.0,2020-11-07,112.79,31.92,42.0,2020-08-07,112.79,37242370.0,-,CLOSED,31.92,92.0,45.0,100.0
-,ASX-NAN,2020-04-29,AUD,6.72,5278694.0,2021-03-29,9.33,38.84,29.0,2021-03-22,6.15,1971462.0,2021-02-23,OPEN,-8.48,-8.0,84.0,-22.0
-,ASX-CGC,2020-06-16,AUD,2.87,6641269.0,2020-09-02,3.74,30.31,98.0,2020-09-02,3.5973,14380991.0,-,CLOSED,25.34,95.0,86.0,84.0
-,ASX-CGC,2020-06-16,AUD,2.87,6641269.0,2021-01-22,4.47,55.75,64.0,2021-01-22,3.9466,1921730.0,-,CLOSED,37.51,50.0,86.0,67.0
-,ASX-A2M,2020-06-17,AUD,19.1,127609048.0,2020-11-13,28.21,47.7,81.0,2020-11-13,14.45,31189198.0,-,CLOSED,-24.35,-48.0,86.0,-51.0
-,ASX-REA,2020-06-19,AUD,110.41,47912720.0,2020-12-29,145.65,31.92,42.0,2020-12-01,145.65,11471290.0,-,CLOSED,31.92,57.0,74.0,100.0
-,ASX-SDF,2020-06-19,AUD,3.45,10521252.0,2021-04-08,4.54,31.59,27.0,2021-03-22,3.86,8362590.0,2021-02-23,OPEN,11.88,13.0,81.0,38.0
-,ASX-RWC,2020-06-22,AUD,3.14,7289801.0,2020-11-29,4.34,38.22,60.0,2020-10-07,4.34,13433228.0,-,CLOSED,38.22,105.0,57.0,100.0
-,ASX-NAN,2020-06-24,AUD,7.01,7483014.0,2021-05-24,9.73,38.8,29.0,2021-03-22,6.15,1971462.0,2021-02-23,OPEN,-12.27,-13.0,70.0,-32.0
-,ASX-CTD,2020-06-26,AUD,9.73,11727238.0,2020-12-14,12.69,30.42,45.0,2020-08-19,12.69,10427051.0,-,CLOSED,30.42,167.0,27.0,100.0
-,ASX-MYX,2020-06-26,AUD,0.38,2449884.0,2021-01-08,0.5,31.58,41.0,2021-01-08,0.355,363368.0,-,CLOSED,-6.58,-10.0,86.0,-21.0
-,ASX-MYX,2020-06-26,AUD,0.38,2449884.0,2021-02-25,0.52,36.84,38.0,2021-02-25,0.285,1454112.0,-,CLOSED,-25.0,-30.0,86.0,-68.0
-,ASX-ORA,2020-06-29,AUD,2.51,0.0,2021-06-04,3.33,32.67,24.0,2021-03-22,3.02,2931460.0,2021-08-19,OPEN,20.32,22.0,67.0,62.0
-,ASX-RSG,2020-06-29,AUD,1.12,8614993.0,2021-06-11,2.23,99.11,72.0,2021-03-22,0.64,3025377.0,2021-02-26,OPEN,-42.86,-47.0,66.0,-43.0
-,ASX-CTD,2020-06-30,AUD,9.69,7668530.0,2020-12-18,12.64,30.44,45.0,2020-08-19,12.64,20940862.0,-,CLOSED,30.44,178.0,25.0,100.0
-,ASX-BGA,2020-06-30,AUD,4.45,2865322.0,2020-10-25,5.8,30.34,65.0,2020-10-23,5.28,4590601.0,-,CLOSED,18.65,47.0,85.0,61.0
-,ASX-WEB,2020-06-30,AUD,3.32,24189175.0,2021-06-01,4.69,41.27,31.0,2020-11-10,4.69,13575227.0,-,CLOSED,41.27,91.0,34.0,100.0
-,ASX-MFG,2020-07-02,AUD,61.68,43879387.0,2021-03-18,81.18,31.61,31.0,2021-03-18,44.5,26935939.0,-,CLOSED,-27.85,-31.0,86.0,-88.0
-,ASX-CGC,2020-07-03,AUD,3.08,5609259.0,2021-01-15,4.38,42.21,54.0,2021-01-07,4.38,4509331.0,-,CLOSED,42.21,66.0,83.0,100.0
-,ASX-S32,2020-07-03,AUD,2.13,28669693.0,2021-03-12,2.92,37.09,37.0,2021-03-08,2.92,43970927.0,-,CLOSED,37.09,44.0,85.0,100.0
-,ASX-REA,2020-07-03,AUD,110.71,25063120.0,2021-01-12,146.05,31.92,42.0,2020-12-01,146.05,17794931.0,-,CLOSED,31.92,62.0,67.0,100.0
-,ASX-IGO,2020-07-06,AUD,5.01,13921197.0,2021-03-22,6.77,35.13,34.0,2021-01-05,6.77,62632398.0,-,CLOSED,35.13,56.0,61.0,100.0
-,ASX-SYR,2020-07-06,AUD,0.33,1710895.0,2021-02-24,0.79,139.39,151.0,2020-11-24,0.79,1874458.0,-,CLOSED,139.39,290.0,52.0,100.0
-,ASX-SYR,2020-07-06,AUD,0.33,1710895.0,2021-03-29,0.55,66.67,63.0,2020-11-11,0.55,2730281.0,-,CLOSED,66.67,153.0,41.0,100.0
-,ASX-MYX,2020-07-07,AUD,0.43,3949221.0,2021-01-24,0.59,37.21,47.0,2021-01-22,0.345,445056.0,-,CLOSED,-19.77,-29.0,85.0,-53.0
-,ASX-MYX,2020-07-07,AUD,0.43,3949221.0,2021-02-17,0.6,39.53,44.0,2021-02-17,0.315,1051275.0,-,CLOSED,-26.74,-35.0,86.0,-68.0
